Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,District,Municipal
3,SOMA SWAPANA,BJP,896,Elected,Adilabad,Adilabad
4,MANJU SHEKAWATH,IND,95,,Adilabad,Adilabad
"WARD Name : 48 , Reserved for : UR(G), Total Voters in Municipality Ward : 2328 , Total Vaild Votes : 1395 , Rejected Votes : 36 , NOTA Votes : 15",,,,,Adilabad,Adilabad
1,AKULA PRAVEEN KUMAR,BJP,874,Elected,Adilabad,Adilabad
2,INDURI VITTAL,INC,51,,Adilabad,Adilabad
3,BOTHKURWAR SHAILESH,TRS,470,,Adilabad,Adilabad
"WARD Name : 49 , Reserved for : UR(G), Total Voters in Municipality Ward : 2437 , Total Vaild Votes : 1525 , Rejected Votes : 30 , NOTA Votes : 5",,,,,Adilabad,Adilabad
1,S KRISHNA,BJP,445,,Adilabad,Adilabad
2,BANU RAJESHWAR RAO,TDP,18,,Adilabad,Adilabad
3,VENUGANTI PRAKASH,TRS,1017,Elected,Adilabad,Adilabad
4,SHANKER ALWALE,INC,45,,Adilabad,Adilabad
"WARD Name : 1 , Reserved for : BC(G), Total Voters in Municipality Ward : 1285 , Total Vaild Votes : 1102 , Rejected Votes : 21 , NOTA Votes : 21",,,,,Bhadradri,Yellandu
1,VARA RAVI,TRS,640,Elected,Bhadradri,Yellandu
2,SHAIK SAIDU MIYA,INC,63,,Bhadradri,Yellandu
3,PALANGTHODU HUNTER SATHISH KUMAR,BJP,3,,Bhadradri,Yellandu
4,CHINTARALA RAMULU,IND,63,,Bhadradri,Yellandu
5,MOHAMMAD MADHAR BEE,IND,5,,Bhadradri,Yellandu
6,GUNHAPRAPU RAMBABU,IND,8,,Bhadradri,Yellandu
7,CHENNABOINA VENKAIAH,IND,320,,Bhadradri,Yellandu
"WARD Name : 2 , Reserved for : UR(G), Total Voters in Municipality Ward : 1416 , Total Vaild Votes : 1142 , Rejected Votes : 16 , NOTA Votes : 2",,,,,Bhadradri,Yellandu
1,DODDA DANIEL ANANIYA DEVENAND,INC,505,,Bhadradri,Yellandu
2,KATAKAM PADMAVATHI,TRS,523,Elected,Bhadradri,Yellandu
3,RAJATH KUMAR KORI,BJP,5,,Bhadradri,Yellandu
4,THUPAKULA NAGESWARARAO,IND,54,,Bhadradri,Yellandu
5,PICHIREDDY KANDULA,IND,6,,Bhadradri,Yellandu
6,MOHAMMED YAKUB ALI,IND,6,,Bhadradri,Yellandu
7,RATHARAPU MALLESHWARI,IND,4,,Bhadradri,Yellandu
8,SHAIK ARIF,IND,32,,Bhadradri,Yellandu
9,SHAIK SADHIKA BEE,IND,7,,Bhadradri,Yellandu
"WARD Name : 3 , Reserved for : UR(G), Total Voters in Municipality Ward : 1424 , Total Vaild Votes : 1133 , Rejected Votes : 7 , NOTA Votes : 5",,,,,Bhadradri,Yellandu
1,KOKKU NAGESHWAR RAO,TRS,489,Elected,Bhadradri,Yellandu
2,MUDHRAGADA VAMSHI,TDP,88,,Bhadradri,Yellandu
3,NALLA SOMASUNDER,BJP,36,,Bhadradri,Yellandu
4,GOUSE SHAIK,TJSP,11,,Bhadradri,Yellandu
5,GUNDAMPALLI SATEESH KUMAR,IND,467,,Bhadradri,Yellandu
6,MOHAMMED NAYEEMUDDIN,IND,4,,Bhadradri,Yellandu
7,RENUKA BANAPURAM,IND,18,,Bhadradri,Yellandu
8,SRINIVASARAO RAYALA,IND,20,,Bhadradri,Yellandu
9,BALLAM SALMAN,IND,0,,Bhadradri,Yellandu
"WARD Name : 4 , Reserved for : BC(G), Total Voters in Municipality Ward : 1326 , Total Vaild Votes : 955 , Rejected Votes : 9 , NOTA Votes : 8",,,,,Bhadradri,Yellandu
1,REVALLI NAGARAJU,BJP,5,,Bhadradri,Yellandu
2,MOHAMMAD AKTAR,INC,76,,Bhadradri,Yellandu
3,SYED AZAM,TRS,525,Elected,Bhadradri,Yellandu
4,MAHAMMAD MUNAWAR,IND,288,,Bhadradri,Yellandu
5,MACHARLA CHANDRAMOULI GOUD,IND,5,,Bhadradri,Yellandu
6,VUPPANUTHALA RAJENDRA PRASAD,IND,56,,Bhadradri,Yellandu
"WARD Name : 5 , Reserved for : BC(W), Total Voters in Municipality Ward : 1355 , Total Vaild Votes : 995 , Rejected Votes : 11 , NOTA Votes : 1",,,,,Bhadradri,Yellandu
1,ALUGU SARITHA,CPI,190,,Bhadradri,Yellandu
2,PASIKA MANJULA,INC,41,,Bhadradri,Yellandu
3,YALAMANDALA VEENA,TRS,541,Elected,Bhadradri,Yellandu
4,CHILLA VIJAYA BHARATHI,IND,223,,Bhadradri,Yellandu
"WARD Name : 6 , Reserved for : BC(W), Total Voters in Municipality Ward : 1328 , Total Vaild Votes : 1035 , Rejected Votes : 9 , NOTA Votes : 5",,,,,Bhadradri,Yellandu
1,BANDAM LAXMI,CPI,98,,Bhadradri,Yellandu
2,THOTA LALITHA SHARADA,TRS,476,Elected,Bhadradri,Yellandu
3,SHANTHA BALAGANI,BJP,38,,Bhadradri,Yellandu
4,GEEKURU RAJESHWARI,IND,3,,Bhadradri,Yellandu
5,RADHA KORI,IND,420,,Bhadradri,Yellandu
"WARD Name : 7 , Reserved for : BC(W), Total Voters in Municipality Ward : 1378 , Total Vaild Votes : 872 , Rejected Votes : 11 , NOTA Votes : 2",,,,,Bhadradri,Yellandu
1,SAMALA MADHAVI,TRS,382,Elected,Bhadradri,Yellandu
2,MOHAMMED JAREENA AKTHAR,CPI,47,,Bhadradri,Yellandu
3,MOHAMMED SHAMSHAD,INC,95,,Bhadradri,Yellandu
4,RAJURI MANJULA,IND,7,,Bhadradri,Yellandu
5,PARRE SWARNA LATHA,IND,341,,Bhadradri,Yellandu
"WARD Name : 8 , Reserved for : BC(G), Total Voters in Municipality Ward : 1246 , Total Vaild Votes : 930 , Rejected Votes : 7 , NOTA Votes : 3",,,,,Bhadradri,Yellandu
1,ASIF MOHAMMAD,INC,155,,Bhadradri,Yellandu
2,BOGA NANDAKISHORE,TRS,267,,Bhadradri,Yellandu
3,MAVUNURI MADHAV,BJP,4,,Bhadradri,Yellandu
4,KONDAPALLI GANESH,IND,0,,Bhadradri,Yellandu
5,POTHURAJU JAYA,IND,6,,Bhadradri,Yellandu
6,BOLLAM SAI SRINIVAS,IND,13,,Bhadradri,Yellandu
7,MADATHA RAMA,IND,464,Elected,Bhadradri,Yellandu
8,MOHAMMAD NOORJAHAN,IND,10,,Bhadradri,Yellandu
9,SHAIK NAKIB AKTHAR,IND,11,,Bhadradri,Yellandu
"WARD Name : 9 , Reserved for : UR(W), Total Voters in Municipality Ward : 1297 , Total Vaild Votes : 990 , Rejected Votes : 11 , NOTA Votes : 1",,,,,Bhadradri,Yellandu
1,KADIGALA NARAYANAMMA,BJP,7,,Bhadradri,Yellandu
2,PANDUGA PADMAVATHI,INC,24,,Bhadradri,Yellandu
3,PUNEM VIJAYALAXMI,TRS,356,,Bhadradri,Yellandu
4,ADEPU PRASHANTHI,IND,12,,Bhadradri,Yellandu
5,RELLA NAGA LAXMI,IND,393,Elected,Bhadradri,Yellandu
6,NAGAPURI SWAPNA,IND,198,,Bhadradri,Yellandu
"WARD Name : 10 , Reserved for : UR(G), Total Voters in Municipality Ward : 1338 , Total Vaild Votes : 738 , Rejected Votes : 5 , NOTA Votes : 13",,,,,Bhadradri,Yellandu
1,AAREM VIJAY CHANDAR,TDP,57,,Bhadradri,Yellandu
2,Apuri Brahamam,CPI,15,,Bhadradri,Yellandu
3,CHEBROLU LAXMI PRASANNA KUMAR,INC,108,,Bhadradri,Yellandu
4,Padala Venkata Krishna Rao,BJP,6,,Bhadradri,Yellandu
5,DAMMALAPATI VENKATESHWAR RAO,TRS,552,Elected,Bhadradri,Yellandu
"WARD Name : 11 , Reserved for : UR(G), Total Voters in Municipality Ward : 1469 , Total Vaild Votes : 884 , Rejected Votes : 5 , NOTA Votes : 5",,,,,Bhadradri,Yellandu
1,Kodem Vijaya,CPI,0,,Bhadradri,Yellandu
2,Premlal,BJP,22,,Bhadradri,Yellandu
3,VEMURI RAJU,TDP,2,,Bhadradri,Yellandu
4,GOCHIKONDA SRIDEVI,INC,189,,Bhadradri,Yellandu
5,Cherupalli Srinivas,TRS,419,Elected,Bhadradri,Yellandu
6,MADATHA VENKAT GOUD,IND,246,,Bhadradri,Yellandu
7,Vemuri Raju,IND,6,,Bhadradri,Yellandu
"WARD Name : 12 , Reserved for : UR(W), Total Voters in Municipality Ward : 1227 , Total Vaild Votes : 933 , Rejected Votes : 7 , NOTA Votes : 6",,,,,Bhadradri,Yellandu
1,VEENA GODISELA,BJP,7,,Bhadradri,Yellandu
2,SILIVERU ANITHA,TRS,462,Elected,Bhadradri,Yellandu
3,Bandi Komaramma,IND,69,,Bhadradri,Yellandu
4,RADHARAPU DHANALAXMI,IND,387,,Bhadradri,Yellandu
5,RESU SARITHA,IND,8,,Bhadradri,Yellandu
"WARD Name : 13 , Reserved for : UR(G), Total Voters in Municipality Ward : 1170 , Total Vaild Votes : 915 , Rejected Votes : 16 , NOTA Votes : 3",,,,,Bhadradri,Yellandu
1,DANDU SARAIAH,TDP,82,,Bhadradri,Yellandu
2,PULIGALLA MADHAVARAO,TRS,203,,Bhadradri,Yellandu
3,PENDALA HARIKRISHNA,INC,175,,Bhadradri,Yellandu
4,SRINIVAS MANDAVARAJU,BJP,4,,Bhadradri,Yellandu
5,DILIP KUMAR ISLAVATH,IND,0,,Bhadradri,Yellandu
6,PADMA KADAKANCHI,IND,330,Elected,Bhadradri,Yellandu
7,PENDALA RAJU,IND,0,,Bhadradri,Yellandu
8,BANSILAL PASI,IND,0,,Bhadradri,Yellandu
9,MANIKYAMMA KOLLA,IND,5,,Bhadradri,Yellandu
10,MUNWAR SHAIK,IND,7,,Bhadradri,Yellandu
11,RAMU LONIYA,IND,17,,Bhadradri,Yellandu
12,RAM KORI,IND,87,,Bhadradri,Yellandu
13,KOLLA SANTHOSH,IND,5,,Bhadradri,Yellandu
"WARD Name : 14 , Reserved for : UR(W), Total Voters in Municipality Ward : 1278 , Total Vaild Votes : 1012 , Rejected Votes : 5 , NOTA Votes : 7",,,,,Bhadradri,Yellandu
1,GINNARAPU RENUKA,CPI,47,,Bhadradri,Yellandu
2,SANDA BINDU,TRS,326,Elected,Bhadradri,Yellandu
3,RAMESHWARI LODH,TDP,97,,Bhadradri,Yellandu
4,SUCHITHRA,BJP,13,,Bhadradri,Yellandu
5,HEMAVATHI,INC,91,,Bhadradri,Yellandu
6,KOPPULA UMARANI,IND,141,,Bhadradri,Yellandu
7,CHANDA PASI,IND,33,,Bhadradri,Yellandu
8,LODH INDIRA,IND,106,,Bhadradri,Yellandu
9,VANI KALICHARAN,IND,155,,Bhadradri,Yellandu
10,SANDRA SUJATHA,IND,3,,Bhadradri,Yellandu
"WARD Name : 15 , Reserved for : UR(W), Total Voters in Municipality Ward : 1238 , Total Vaild Votes : 808 , Rejected Votes : 11 , NOTA Votes : 5",,,,,Bhadradri,Yellandu
1,SRIDEVI PASI,BJP,15,,Bhadradri,Yellandu
2,CHEEMALA SUJATHA,TRS,395,Elected,Bhadradri,Yellandu
3,SONI BAI KORI,INC,311,,Bhadradri,Yellandu
4,KAMATAM CHANDRAMMA,IND,87,,Bhadradri,Yellandu
"WARD Name : 16 , Reserved for : SC(W), Total Voters in Municipality Ward : 1346 , Total Vaild Votes : 1000 , Rejected Votes : 18 , NOTA Votes : 4",,,,,Bhadradri,Yellandu
1,GINNARAPU RAJITHA,TRS,442,Elected,Bhadradri,Yellandu
2,LINGAMPALLI SRILATHA,INC,142,,Bhadradri,Yellandu
3,Sridevi Gurram,BJP,5,,Bhadradri,Yellandu
4,ALURI ANNAPURNA,IND,3,,Bhadradri,Yellandu
5,TALLA SUDHARANI,IND,1,,Bhadradri,Yellandu
6,Narsamma Lingampally,IND,407,,Bhadradri,Yellandu
"WARD Name : 17 , Reserved for : UR(G), Total Voters in Municipality Ward : 1350 , Total Vaild Votes : 998 , Rejected Votes : 11 , NOTA Votes : 3",,,,,Bhadradri,Yellandu
1,APPANA UMASHANKAR,INC,24,,Bhadradri,Yellandu
2,KATEPALLI NARASIMHARAO,BJP,47,,Bhadradri,Yellandu
3,JHONY PASHA,TRS,353,Elected,Bhadradri,Yellandu
4,DEVARAKONDA MAHESH,TDP,15,,Bhadradri,Yellandu
5,BAJARU ANJANEYULU GOUD,CPI,5,,Bhadradri,Yellandu
6,JAMES NOORTHI MARRY,IND,0,,Bhadradri,Yellandu
7,POCHAMPALLI KRISHNA,IND,2,,Bhadradri,Yellandu
8,RAJU SIRIMALLE,IND,315,,Bhadradri,Yellandu
9,SAYYAD MURADAL PASHA,IND,237,,Bhadradri,Yellandu
"WARD Name : 18 , Reserved for : UR(W), Total Voters in Municipality Ward : 1267 , Total Vaild Votes : 834 , Rejected Votes : 6 , NOTA Votes : 5",,,,,Bhadradri,Yellandu
1,KOLLI KARUNA,BJP,178,,Bhadradri,Yellandu
2,NARENDRULA RATNAM,INC,137,,Bhadradri,Yellandu
3,SWATHI PABOLU,TRS,517,Elected,Bhadradri,Yellandu
4,THALLAPALLI NUTHANA KUMARI,IND,2,,Bhadradri,Yellandu
"WARD Name : 19 , Reserved for : SC(W), Total Voters in Municipality Ward : 1382 , Total Vaild Votes : 1036 , Rejected Votes : 21 , NOTA Votes : 11",,,,,Bhadradri,Yellandu
1,KOVVAKULA KALYANI,TDP,75,,Bhadradri,Yellandu
2,BINDE RAMBAI,BJP,148,,Bhadradri,Yellandu
3,SARASA TARA BAI,INC,66,,Bhadradri,Yellandu
4,SANDHYA KALLEPALLI,TRS,344,,Bhadradri,Yellandu
5,CHENIGARAPU SRUTHI,IND,5,,Bhadradri,Yellandu
6,PATHI SWAPNA,IND,398,Elected,Bhadradri,Yellandu
"WARD Name : 20 , Reserved for : ST(G), Total Voters in Municipality Ward : 1390 , Total Vaild Votes : 1151 , Rejected Votes : 11 , NOTA Votes : 4",,,,,Bhadradri,Yellandu
1,AMGOTH RAMJI,BJP,2,,Bhadradri,Yellandu
2,MOGILI LAXMI,TRS,597,Elected,Bhadradri,Yellandu
3,ESAM LAXMAN RAO,INC,121,,Bhadradri,Yellandu
4,BANOTH RAVI,IND,431,,Bhadradri,Yellandu
"WARD Name : 21 , Reserved for : UR(W), Total Voters in Municipality Ward : 1322 , Total Vaild Votes : 1020 , Rejected Votes : 17 , NOTA Votes : 5",,,,,Bhadradri,Yellandu
1,PALAMALU URMILA,TDP,215,,Bhadradri,Yellandu
2,SARITHA KONDAPALLI,TRS,645,Elected,Bhadradri,Yellandu
3,PEDDABOINA SUNITHA,BJP,42,,Bhadradri,Yellandu
4,SHAIK VAHIDA PARVEEN,IND,118,,Bhadradri,Yellandu
"WARD Name : 22 , Reserved for : SC(G), Total Voters in Municipality Ward : 1402 , Total Vaild Votes : 982 , Rejected Votes : 9 , NOTA Votes : 8",,,,,Bhadradri,Yellandu
1,kiran Kumar Aleti,CPM,34,,Bhadradri,Yellandu
2,Ankepaka naveen Kumar,TRS,469,Elected,Bhadradri,Yellandu
3,Botla Sunil Kumar,BJP,5,,Bhadradri,Yellandu
4,VENKATESWARLU NAYINI,INC,29,,Bhadradri,Yellandu
5,KORLAPATI SHIVAKIRAN,IND,421,,Bhadradri,Yellandu
6,Ravish Jannu,IND,24,,Bhadradri,Yellandu
"WARD Name : 23 , Reserved for : SC(G), Total Voters in Municipality Ward : 1347 , Total Vaild Votes : 774 , Rejected Votes : 11 , NOTA Votes : 2",,,,,Bhadradri,Yellandu
1,KADARI NATARAJ,TDP,2,,Bhadradri,Yellandu
2,KUMMARI RAVINDAR,CPI,203,Elected,Bhadradri,Yellandu
3,SHANAM RANGARAO,INC,24,,Bhadradri,Yellandu
4,MEKALA SYAM SUNDAR,TRS,165,,Bhadradri,Yellandu
5,GOLLAMANDALA APPARAO,IND,4,,Bhadradri,Yellandu
6,GANDURI VEERASWAMY,IND,0,,Bhadradri,Yellandu
7,NAKKA PRASANYA,IND,187,,Bhadradri,Yellandu
8,Tadikela Santosh Kumar,IND,189,,Bhadradri,Yellandu
"WARD Name : 24 , Reserved for : ST(W), Total Voters in Municipality Ward : 1421 , Total Vaild Votes : 1014 , Rejected Votes : 9 , NOTA Votes : 9",,,,,Bhadradri,Yellandu
1,GUGULOTH KAMALA,INC,52,,Bhadradri,Yellandu
2,VANKUDOTH TARA,TRS,575,Elected,Bhadradri,Yellandu
3,Swarnaleka Bolli,BJP,2,,Bhadradri,Yellandu
4,Pusam Roja,IND,29,,Bhadradri,Yellandu
5,BADAVATH SAROJA,IND,356,,Bhadradri,Yellandu
Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,Bhadradri,khotagudem
"WARD Name : 1 , Reserved for : BC(G), Total Voters in Municipality Ward : 1777 , Total Vaild Votes : 1402 , Rejected Votes : 21 , NOTA Votes : 9",,,,,Bhadradri,khotagudem
1,Kumaraswamy Kanukuntla,TRS,669,,Bhadradri,khotagudem
2,Boina Vijay Kumar,CPI,710,Elected,Bhadradri,khotagudem
3,Mahender Chirutha,BJP,23,,Bhadradri,khotagudem
"WARD Name : 2 , Reserved for : UR(G), Total Voters in Municipality Ward : 1689 , Total Vaild Votes : 1324 , Rejected Votes : 15 , NOTA Votes : 11",,,,,Bhadradri,khotagudem
1,Esther Rani Bodikala,INC,26,,Bhadradri,khotagudem
2,Gone Suresh Babu,CPI,251,,Bhadradri,khotagudem
3,Velpula Damodar,TRS,813,Elected,Bhadradri,khotagudem
4,Sridhar Godugu,BJP,234,,Bhadradri,khotagudem
"WARD Name : 3 , Reserved for : UR(G), Total Voters in Municipality Ward : 1615 , Total Vaild Votes : 1346 , Rejected Votes : 19 , NOTA Votes : 8",,,,,Bhadradri,khotagudem
1,Avula Sriramulu,CPM,23,,Bhadradri,khotagudem
2,Koudagani Paramesh,TRS,639,Elected,Bhadradri,khotagudem
3,Gandla suresh,INC,25,,Bhadradri,khotagudem
4,Tulasibai Jangapelli,BJP,32,,Bhadradri,khotagudem
5,Pasala Srinivasa Rao,IND,67,,Bhadradri,khotagudem
6,Bandari Yadagiri,IND,7,,Bhadradri,khotagudem
7,Mangamma Bandi,IND,102,,Bhadradri,khotagudem
8,Srinivas Gogineni,IND,417,,Bhadradri,khotagudem
9,Hussain rao Inumula,IND,34,,Bhadradri,khotagudem
"WARD Name : 4 , Reserved for : SC(W), Total Voters in Municipality Ward : 1883 , Total Vaild Votes : 1453 , Rejected Votes : 21 , NOTA Votes : 15",,,,,Bhadradri,khotagudem
1,Bhagyalaxmi Putti,CPI,307,,Bhadradri,khotagudem
2,Ramadevi Jogu,BJP,173,,Bhadradri,khotagudem
3,Sujatha Keamasetti,TRS,887,Elected,Bhadradri,khotagudem
4,Samanthula Rajeswari,IND,86,,Bhadradri,khotagudem
"WARD Name : 5 , Reserved for : SC(G), Total Voters in Municipality Ward : 1623 , Total Vaild Votes : 1224 , Rejected Votes : 16 , NOTA Votes : 8",,,,,Bhadradri,khotagudem
1,Ulloju Venkateswarlu,CPI,318,,Bhadradri,khotagudem
2,Pilli Santha Kumar,TRS,422,,Bhadradri,khotagudem
3,Anil Talugu,IND,474,Elected,Bhadradri,khotagudem
4,Medipalli Sujatha Rani,IND,10,,Bhadradri,khotagudem
"WARD Name : 6 , Reserved for : UR(G), Total Voters in Municipality Ward : 1592 , Total Vaild Votes : 1228 , Rejected Votes : 13 , NOTA Votes : 6",,,,,Bhadradri,khotagudem
1,Kapu Seetha Laxmi,TRS,650,Elected,Bhadradri,khotagudem
2,Parapathi Srinivas Reddy,INC,16,,Bhadradri,khotagudem
3,Faheem shaik,CPI,368,,Bhadradri,khotagudem
4,Miriyala Srinivas,BJP,161,,Bhadradri,khotagudem
5,Byri Nirmala Devi,IND,27,,Bhadradri,khotagudem
6,Vadlakonda Ravi,IND,6,,Bhadradri,khotagudem
"WARD Name : 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 1670 , Total Vaild Votes : 1203 , Rejected Votes : 20 , NOTA Votes : 15",,,,,Bhadradri,khotagudem
1,Puli Geetha,TRS,663,Elected,Bhadradri,khotagudem
2,P. Manju Vani,BJP,19,,Bhadradri,khotagudem
3,Venpati Renuka,INC,37,,Bhadradri,khotagudem
4,Gunda Prameela,IND,13,,Bhadradri,khotagudem
5,Davu Laxmi,IND,471,,Bhadradri,khotagudem
"WARD Name : 8 , Reserved for : SC(G), Total Voters in Municipality Ward : 1519 , Total Vaild Votes : 1287 , Rejected Votes : 9 , NOTA Votes : 0",,,,,Bhadradri,khotagudem
1,Koyyada Srinivas,BJP,37,,Bhadradri,khotagudem
2,Jamalaiah Kancherla,CPI,645,Elected,Bhadradri,khotagudem
3,Mangalagiri Arun Kumar,TRS,291,,Bhadradri,khotagudem
4,Kukkala Ram Mohan Rao,IND,138,,Bhadradri,khotagudem
5,Kona Rajasekhar,IND,16,,Bhadradri,khotagudem
6,Gangarapu Durga prasad,IND,96,,Bhadradri,khotagudem
7,Nalika Mahesh,IND,64,,Bhadradri,khotagudem
"WARD Name : 9 , Reserved for : SC(W), Total Voters in Municipality Ward : 1648 , Total Vaild Votes : 1286 , Rejected Votes : 16 , NOTA Votes : 8",,,,,Bhadradri,khotagudem
1,Datla Swapna,CPI,447,,Bhadradri,khotagudem
2,More Rupa,TRS,564,Elected,Bhadradri,khotagudem
3,Yatakula Rajeswari,INC,22,,Bhadradri,khotagudem
4,Avunuri Shobha Rani,BJP,48,,Bhadradri,khotagudem
5,Kuri Chandra kala,IND,187,,Bhadradri,khotagudem
6,Mogaram Bharathi,IND,6,,Bhadradri,khotagudem
7,Vadapalli Mary vanaja,IND,12,,Bhadradri,khotagudem
"WARD Name : 10 , Reserved for : UR(W), Total Voters in Municipality Ward : 1650 , Total Vaild Votes : 1300 , Rejected Votes : 10 , NOTA Votes : 9",,,,,Bhadradri,khotagudem
1,Pithani Madhu Kalyani,TRS,405,,Bhadradri,khotagudem
2,PENKE LAXMI,INC,45,,Bhadradri,khotagudem
3,Munigadapa Padma,CPI,460,Elected,Bhadradri,khotagudem
4,Saraswathi Kommu,BJP,390,,Bhadradri,khotagudem
"WARD Name : 11 , Reserved for : ST(G), Total Voters in Municipality Ward : 1542 , Total Vaild Votes : 1283 , Rejected Votes : 19 , NOTA Votes : 12",,,,,Bhadradri,khotagudem
1,Banoth Gobriya,TRS,570,,Bhadradri,khotagudem
2,Bhukya Srinivas,CPI,713,Elected,Bhadradri,khotagudem
"WARD Name : 12 , Reserved for : UR(W), Total Voters in Municipality Ward : 1878 , Total Vaild Votes : 1294 , Rejected Votes : 7 , NOTA Votes : 8",,,,,Bhadradri,khotagudem
1,Kurapati Vijayalaxmi,TRS,733,Elected,Bhadradri,khotagudem
2,Marri Prashanthi,CPI,300,,Bhadradri,khotagudem
3,SHAHEEN MOHAMMAD,IND,261,,Bhadradri,khotagudem
"WARD Name : 13 , Reserved for : UR(W), Total Voters in Municipality Ward : 1622 , Total Vaild Votes : 1125 , Rejected Votes : 18 , NOTA Votes : 14",,,,,Bhadradri,khotagudem
1,DHANALAXMI POLUMURI,CPI,523,,Bhadradri,khotagudem
2,YENUGUPALLI VIJAYA,INC,27,,Bhadradri,khotagudem
3,Vanacharla Vimala,TRS,575,Elected,Bhadradri,khotagudem
"WARD Name : 14 , Reserved for : UR(W), Total Voters in Municipality Ward : 1585 , Total Vaild Votes : 1101 , Rejected Votes : 8 , NOTA Votes : 12",,,,,Bhadradri,khotagudem
1,AFZALUNNISA BEGUM,TRS,531,Elected,Bhadradri,khotagudem
2,PADMA BANDELA,BJP,91,,Bhadradri,khotagudem
3,SONGYAM SIREESHA,CPI,324,,Bhadradri,khotagudem
4,CHINTHAKAYALA KEERTHANA,IND,155,,Bhadradri,khotagudem
"WARD Name : 15 , Reserved for : UR(G), Total Voters in Municipality Ward : 1591 , Total Vaild Votes : 868 , Rejected Votes : 9 , NOTA Votes : 7",,,,,Bhadradri,khotagudem
1,JINUGU ARUN,INC,102,,Bhadradri,khotagudem
2,PALLAPU LAXMAN,TRS,366,Elected,Bhadradri,khotagudem
3,Vinay Kumar Gorantla,CPI,208,,Bhadradri,khotagudem
4,VEERAGONI RAVI KUMAR,BJP,92,,Bhadradri,khotagudem
5,KONGA PRASHANTH KUMAR,IND,100,,Bhadradri,khotagudem
"WARD Name : 16 , Reserved for : UR(W), Total Voters in Municipality Ward : 1254 , Total Vaild Votes : 1234 , Rejected Votes : 14 , NOTA Votes : 6",,,,,Bhadradri,khotagudem
1,Thavva Satyavani,TRS,518,,Bhadradri,khotagudem
2,Pallapu Revathi,INC,136,,Bhadradri,khotagudem
3,Macharla Rajakumari,CPI,580,Elected,Bhadradri,khotagudem
"WARD Name : 17 , Reserved for : BC(W), Total Voters in Municipality Ward : 1573 , Total Vaild Votes : 1256 , Rejected Votes : 26 , NOTA Votes : 6",,,,,Bhadradri,khotagudem
1,Gummadelli Kalyani,TRS,649,Elected,Bhadradri,khotagudem
2,Mohammad Meharaj,CPI,295,,Bhadradri,khotagudem
3,Budhrapu Sharada,BJP,312,,Bhadradri,khotagudem
"WARD Name : 18 , Reserved for : BC(G), Total Voters in Municipality Ward : 1715 , Total Vaild Votes : 1395 , Rejected Votes : 16 , NOTA Votes : 15",,,,,Bhadradri,khotagudem
1,DEVALLA VEERANNA,CPM,88,,Bhadradri,khotagudem
2,Pothu Purushotham,TRS,311,,Bhadradri,khotagudem
3,Poloju Satyanarayana Chary,CPI,652,Elected,Bhadradri,khotagudem
4,Kotagiri Sarveswar rao,BJP,21,,Bhadradri,khotagudem
5,Gudimalla Rajeswara rao,IND,35,,Bhadradri,khotagudem
6,Chinthakuntla Prasad,IND,288,,Bhadradri,khotagudem
"WARD Name : 19 , Reserved for : BC(G), Total Voters in Municipality Ward : 1552 , Total Vaild Votes : 1229 , Rejected Votes : 14 , NOTA Votes : 6",,,,,Bhadradri,khotagudem
1,Bandi Narasimha Rao,TRS,761,Elected,Bhadradri,khotagudem
2,Mohammad Jalal,CPM,55,,Bhadradri,khotagudem
3,Seelam Vidyasagar,BJP,50,,Bhadradri,khotagudem
4,Mamidi Srinivas,IND,363,,Bhadradri,khotagudem
"WARD Name : 20 , Reserved for : ST(W), Total Voters in Municipality Ward : 1419 , Total Vaild Votes : 1165 , Rejected Votes : 5 , NOTA Votes : 8",,,,,Bhadradri,khotagudem
1,Azmeera Sujatha,TRS,451,Elected,Bhadradri,khotagudem
2,Banoth Kalavathi,CPI,326,,Bhadradri,khotagudem
3,Sunitha Amgoth,IND,388,,Bhadradri,khotagudem
"WARD Name : 21 , Reserved for : UR(W), Total Voters in Municipality Ward : 1728 , Total Vaild Votes : 1177 , Rejected Votes : 21 , NOTA Votes : 40",,,,,Bhadradri,khotagudem
1,Kontu Swaroopa,INC,346,,Bhadradri,khotagudem
2,Mada Satyavathi,TRS,831,Elected,Bhadradri,khotagudem
"WARD Name : 22 , Reserved for : UR(W), Total Voters in Municipality Ward : 1608 , Total Vaild Votes : 1121 , Rejected Votes : 7 , NOTA Votes : 4",,,,,Bhadradri,khotagudem
1,Golla Satyavthi,BJP,135,,Bhadradri,khotagudem
2,Togaru Raja Nalini Jayanthi,TRS,613,Elected,Bhadradri,khotagudem
3,Shaik Imam Bi,INC,78,,Bhadradri,khotagudem
4,Padma Madasu,IND,295,,Bhadradri,khotagudem
"WARD Name : 23 , Reserved for : UR(G), Total Voters in Municipality Ward : 1739 , Total Vaild Votes : 1326 , Rejected Votes : 16 , NOTA Votes : 4",,,,,Bhadradri,khotagudem
1,Challa Shakunthala,TRS,416,,Bhadradri,khotagudem
2,Yaramala Sreenivasa Reddy,CPI,749,Elected,Bhadradri,khotagudem
3,Kakati Sandeep,IND,12,,Bhadradri,khotagudem
